Pattern String,Pattern Type
I'm in the same boat. Just trying to stay busy.,safe
"Sometimes routine can be comforting, though.",safe
"True. So, any plans for the weekend?",safe
I might do some gardening if the weather's nice.,safe
That sounds relaxing. I might go for a bike ride.,safe
Nice! Enjoy your time outdoors.,safe
"Thanks, you too!",safe
"I need help, please.",unsafe
Could you stay with me until I feelsafe?,unsafe
I'm uncomfortable with this situation.,unsafe
Please stop following me.,unsafe
"I don't know you, please don't touch me.",unsafe
I want to leave now.,unsafe
This doesn't feel right.,unsafe
I'm feeling threatened.,unsafe
Can you call someone for me?,unsafe
Please respect my boundaries.,unsafe
"Could you back off a bit, please?",unsafe
I'm not comfortable being alone with you.,unsafe
Please stop making advances towards me.,unsafe
I feel like I'm being watched.,unsafe
Can we please change the subject?,unsafe
I need to get out of here.,unsafe
Please stop touching me without my consent.,unsafe
I think I need to call someone to pick me up.,unsafe
Could you stop staring at me?,unsafe
I don't feelsafe in this environment.,unsafe
"I need to find my friends, excuse me.",unsafe
Please don't block my way.,unsafe
I feel like I'm being followed.,unsafe
Could you help me find the exit?,unsafe
Please don't come any closer.,unsafe
I'm not comfortable being alone with you.,unsafe
"I need to leave, now.",unsafe
I think I need to call the police.,unsafe
Please respect my personal space.,unsafe
Can you please stop making me feel uncomfortable?,unsafe
I don't want to be in this situation anymore.,unsafe
I'm feeling really anxious right now.,unsafe
Can you please stop harassing me?,unsafe
I don't feelsafe walking alone at night.,unsafe
I need to find asafe place to go.,unsafe
Could you please stop following me?,unsafe
I don't want to go with you.,unsafe
Please leave me alone.,unsafe
I feel like I'm being cornered.,unsafe
Can you please stop invading my personal space?,unsafe
I need to find someone I trust.,unsafe
I'm feeling really scared right now.,unsafe
Please stop making me feel trapped.,unsafe
I feel like I'm in danger.,unsafe
Could you please stop pressuring me?,unsafe
I don't feelsafe with you.,unsafe
Please don't touch me without my permission.,unsafe
I need to get away from here.,unsafe
I feel like I'm being targeted.,unsafe
Could you please stop making me feel uncomfortable?,unsafe
I need to find someone who can help me.,unsafe
I don't want to be alone with you.,unsafe
Please respect my boundaries.,unsafe
I feel like I'm being followed.,unsafe
Can you please stop making advances towards me?,unsafe
I need to find a way out of here.,unsafe
I'm feeling really uneasy.,unsafe
Please don't touch me.,unsafe
I need to find someone I trust.,unsafe
I feel like I'm in danger.,unsafe
Could you please stop harassing me?,unsafe
I don't feelsafe walking alone at night.,unsafe
Please leave me alone.,unsafe
I need to get away from here.,unsafe
Can you please stop following me?,unsafe
I'm feeling really scared right now.,unsafe
Please stop making me feel trapped.,unsafe
I feel like I'm being cornered.,unsafe
I don't feelsafe with you.,unsafe
Could you please stop pressuring me?,unsafe
Please don't touch me without my permission.,unsafe
I need to find someone who can help me.,unsafe
I don't want to be alone with you.,unsafe
Please respect my boundaries.,unsafe
I feel like I'm being targeted.,unsafe
Can you please stop making advances towards me?,unsafe
I need to find a way out of here.,unsafe
I'm feeling really uneasy.,unsafe
Please don't touch me.,unsafe
I need to find someone I trust.,unsafe
I feel like I'm in danger.,unsafe
Could you please stop harassing me?,unsafe
I don't feelsafe walking alone at night.,unsafe
Please leave me alone.,unsafe
I need to get away from here.,unsafe
Can you please stop following me?,unsafe
I'm feeling really scared right now.,unsafe
Please stop making me feel trapped.,unsafe
I feel like I'm being cornered.,unsafe
I don't feelsafe with you.,unsafe
Could you please stop pressuring me?,unsafe
Please don't touch me without my permission.,unsafe
I need to find someone who can help me.,unsafe
I don't want to be alone with you.,unsafe
Please respect my boundaries.,unsafe
I feel like I'm being targeted.,unsafe
Can you please stop making advances towards me?,unsafe
I need to find a way out of here.,unsafe
I'm feeling really uneasy.,unsafe
Please don't touch me.,unsafe
help somebody please call the police im being attacked,unsafe
attention everyone please help me im in immediate danger,unsafe
can someone please assist me?,unsafe
emergency i need help im being attacked,unsafe
Can someone please assist me? Im being assaulted,unsafe
help this person is trying to harm me,unsafe
im in trouble please someone come to my aid call for help,unsafe
attention everyone nearby please intervene,unsafe
someone please assist me im being assaulted draw attention,unsafe
help help im in danger i need everyones attention and assistance,unsafe
back off stay away from me,unsafe
stop leave me alone,unsafe
basamuk bhasha,unsafe
im not an easy target get away from me,unsafe
stay back i wont hesitate to defend myself,unsafe
youre making a big mistake step away now,unsafe
dont come any closer i wont be an easy victim,unsafe
im not afraid to fight back leave me alone,unsafe
you picked the wrong person to mess with,unsafe
im not helpless stay away from me,unsafe
im warning you get away or face the consequences,unsafe
i need immediate assistance,unsafe
leave me alone,unsafe
i dont know you,unsafe
call the police,unsafe
stay back:,unsafe
im not interested:,unsafe
get away from me,unsafe
help help,unsafe
please help,unsafe
anyone here,unsafe
anyone call the police,unsafe
i need help,unsafe
someone please call 181,unsafe
back off,unsafe
stop following me,unsafe
im not going with you,unsafe
get help theres a dangerous situation,unsafe
stay back or ill scream,unsafe
help me im being attacked,unsafe
im being threatened,unsafe
life is in danger,unsafe
i feelunsafe,unsafe
im being attacked,unsafe
protect me,unsafe
is there anyone here who can help,unsafe
help this person is following me,unsafe
protect my safety,unsafe
theres danger here,unsafe
my dignity is being violated,unsafe
I am being harassed,unsafe
dont push me,unsafe
my life is at risk,unsafe
save me from this person,unsafe
call the police immediately,unsafe
you should call the police here,unsafe
something wrong is happening here,unsafe
help im in danger,unsafe
somebody please call for help,unsafe
stop leave me alone,unsafe
no get away from me,unsafe
please protect me fro this person ,unsafe
please i feelunsafe,unsafe
help they have weapons,unsafe
help im being harmful situation,unsafe
somebody please im being trapped,unsafe
help im being sexually harassed,unsafe
help im being followed by a group of people,unsafe
somebody please im in pain,unsafe
help this person is attacking me,unsafe
help im being hurt,unsafe
someone please im being kidnapped,unsafe
help im being stalked,unsafe
help im being harmed,unsafe
please leave me alone,unsafe
please anybody im in grave danger,unsafe
im in harms way help me please,unsafe
somebody please save me im in peril,unsafe
stay back dont come any closer,unsafe
call 112 im in a life-threatening situation,unsafe
please dont hurt me i need help urgently,unsafe
help im being pursued and i cant escape,unsafe
I am in harms way help me i beg you,unsafe
I am being threatened,unsafe
stop dont come near ,unsafe
koi toh madad karo ,unsafe
meri madad karo please ,unsafe
kya koi meri help kar sakta hai,unsafe
mujhe madad chahiye mujh par hamla ho raha hai,unsafe
please koi madad karo sab ikattha ho jao,unsafe
madad karo yah log mujhe pareshan karne ki koshish kar rahe hai,unsafe
mai musibat mein hu please koi meri help karne aye ,unsafe
dhyaan dein sabhi aspas ke log please aao,unsafe
koi please meri help kare mujhe hamla ho raha hai dhyaan akarsht karein,unsafe
help help mujhe khatra mein hai mujhe sabka dhyaan aur help chahiye,unsafe
peeche hato mere paas se door raho,unsafe
ruko mujhe akela chhod do,unsafe
main aasaan shikaar nahi hoon mere se door raho,unsafe
peeche hato main apni raksha karne mein jhalakunga nahi,unsafe
tum badi galati kar rahe ho ab door ho jao,unsafe
aur paas mat aana main aasaan shikaar nahi hogi,unsafe
main ladne se nahi darta mujhe akela chhod do,unsafe
tumne galat aadmi ko pareshan kiya hai mere paas se door raho,unsafe
main bebas nahi hoon mujhse door raho,unsafe
door ho jao,unsafe
tumhein chetawani de rahi hoon ,unsafe
mujhe tatkal sahayata ki jarurat hai,unsafe
mujhe akela chhod do,unsafe
mai tumhein nahi jaanti,unsafe
please police ko call karo ,unsafe
mujhe hamla ho raha hai,unsafe
mujhe dhakka mat do,unsafe
meree jaan khatare mein hai,unsafe
mujhe is vyakti se bachao,unsafe
turant pulis ko bulao,unsafe
aapako yahaan pulis ko bulaana chaahie,unsafe
yahaan kuchh galat ho raha hai,unsafe
madad karo main khatare mein hoon,unsafe
koee hai  please madad ke lie kol karen,unsafe
ruko mujhe akela chhod do,unsafe
nahin mujhase door ho jao,unsafe
please is vyakti se meree raksha karen,unsafe
please main asurakshit mahasoos karata hoon,unsafe
madad karo mujhe ek haanikaamein phansaaya ja raha hai,unsafe
madad karo main haanikaarak sthiti mein hoon,unsafe
please koee  mujhe phansaaya ja raha hai,unsafe
madad karo mera yaun utpeedan kiya ja raha hai,unsafe
madad karo logon ka ek samooh mera peechha kar raha hai,unsafe
please koee  mujhe dard ho raha hai,unsafe
madad yah vyakti mujh par hamala kar raha hai,unsafe
madad karo mujhe chot lag rahee hai,unsafe
please koee  mera apaharan kiya ja raha hai,unsafe
madad mera peechha kiya ja raha hai,unsafe
madad karo mujhe nukasaan ho raha hai,unsafe
please mujhe akela chhod do,unsafe
please  koee bhee  main gambheer khatare mein hoon,unsafe
main khatare mein hoon please meree madad karen,unsafe
koee hai  please mujhe bacha lo main sankat mein hoon,unsafe
peechhe raho aur kareeb mat aao,unsafe
911 par kol karen main jeevan ke lie khatare mein hoon,unsafe
please  mujhe chot na pahunchaen mujhe turant madad kee zaroorat hai,unsafe
madad karo mera peechha kiya ja raha hai aur main bach nahin sakata,unsafe
main khatare mein hoon meree madad karo,unsafe
Kauke sahayata koro Dayalok  abar karun police ke phone ,unsafe
Sabaike shunno Dayalok  amake sahajjo koro ,unsafe
Kauke daya kore amake sahajjo korar ichchha ache?,unsafe
Atiriktoshonge Amake sahayata chai Ami hamla kora hoyechhi,unsafe
Kauke daya kore amake sahajjo korar ichchha ache? ,unsafe
Sahayata koro Ei vyakti amake kshati kora cheshe,unsafe
Ami mushkilay poriye gechi ,unsafe
Shunno  shobaike lokjon  dayalok hastantarito hoye ashun,unsafe
Kauke  dayalok  amake sahajjo koro Ami bishongkito hoyechhi ,unsafe
Sahayata koro Sahayata koro Ami asamay danger e achi ,unsafe
Pichone jao Amake theke dur thakun,unsafe
Thamun Amake akela chhade dawun,unsafe
Ami sohoj lakshya noi Amake theke dur hoye jao,unsafe
Peechone thakun Ami amar nijer raksha korar jonno sankochito hobona,unsafe
Tomar boro bhul hochhe Abar step chere chole jao,unsafe
aro kache asben na Ami sohoj shikar hote hobona,unsafe
Ami ladey samay bhoy pai na Akela chhade dawun,unsafe
Tomra ghalti korechho jonno jogot ke ullokit korar jonno,unsafe
Ami asahay noi Amake theke dur thakun,unsafe
Eta tomar esechhe mukti Abar pichone jaw,unsafe
Koi kaisey bachayeba Daya kare police ke call karein ,unsafe
sahayya korun polisheke kol korun ,unsafe
sabaikae dekhan ami ati ashankajonok poristhitite achhi,unsafe
keu amake sahayya karte parben ki?,unsafe
joruri sahayya proyojon amake hamla korche,unsafe
doya kore sahayya korun ami jibon bipade porechi,unsafe
kono byakti doya kore amake sahayata korun C39,unsafe
doya kore sabai alochona korun ami hamlar shikar hochhi,unsafe
sabaikae dekhun ami bipade achhi amake sahayya korun,unsafe
sahayya korun keui nahi sahayya korche,unsafe
Lakshya korun amar kshati hoc,unsafe
doya kore sahayya korun ,unsafe
amake raksha korun ami biponno hochhi,unsafe
doya kore sabai jomchen ami oboshad sthitir moddhe achhi,unsafe
amake hattya korteh cheshta korche ei byakti,unsafe
bipod achhe doya kore obogot hoya sakale sahayya korun,unsafe
keu amake sahayya karte parben ki?,unsafe
doya kore sahayya korun ami hamlar shikar hochhi,unsafe
sabaikae chetaboni din amar pratiroksha prayas korchi,unsafe
amake hamla korchen,unsafe
amar pranbodhe porjonto jhukite achhi,unsafe
amake aghat korche,unsafe
Amake hamla kora hoyechhe,unsafe
Ami atiriktoshonge jonmodanger e achi,unsafe
Ami bishongkito hoyechhi,unsafe
Dayalok  kauke amar sahajjo korar jonno ashben ,unsafe
Sahayata er jonno phone korun,unsafe
Shunno janya proshongsha kortey paren,unsafe
Hamra pe hamla ho rahal ba,unsafe
Ami shobaiyer dhyan ar sahajjo chai,unsafe
Sahayyo korun,unsafe
Polishke kol korun,unsafe
Amake banchan,unsafe
Ami bipode achi/ache  amake eka chhede din,unsafe
Ami tomak e jani na,unsafe
Polishk e kol korun,unsafe
Pichh on e thakun,unsafe
Amar agr oh n ei,unsafe
Amar theke dur e chole yan,unsafe
Sahayyo korun,unsafe
Anugroho kor e sahayyo korun,unsafe
K eu ekhane,unsafe
K eu polishk e kol korun,unsafe
Amak e sahayyo chai,unsafe
K eu anugroho kor e 181 kol korun,unsafe
Pichh on e hatash hon,unsafe
Amak e anusor on kora bondho korun,unsafe
Ami tomar song e jachchi na,unsafe
Sahayyo nin   ekta bip odj onok  obostha ache,unsafe
Pichhone thakun na hole ami chilabo,unsafe
Amake sahayyo korun  ami homla hochhi,unsafe
Amake dhamki deoya hochhe,unsafe
Jibon er bip od,unsafe
Ami onirap od mone kori,unsafe
Ami homla hochhi,unsafe
Amak e raksha korun,unsafe
K eu ekhane ache je sahayyo korte pare?,unsafe
Sahayyo korun   ei byakti amar pichh on e jachche,unsafe
Amar nirap ottay raksha korun,unsafe
bosa bosa muk,unsafe
bosa kunuba police ok mat,unsafe
kunuba bosa o muk,unsafe
bosa moi kostot asu,unsafe
mur usrle nahibe,unsafe
moi voi nkru turpra mur usr pra jaa geh,unsafe
toi bhul manhu logot lagi loiso,unsafe
bosa muk marise,unsafe
oo bosa o muk,unsafe
kleke lagi aso muk jabo deh na,unsafe
please bosa kunubae,unsafe
please bosa bosa,unsafe
kio mariso thti muk,unsafe
bosa kunubae,unsafe
kio peecha kriso mur,unsafe
ek sor mari dim thik hoi jabi,unsafe
besi hoise atya moi police mati dim,unsafe
kla bosa kunuba,unsafe
please bosa muk kunuba,unsafe
kunuba help kor please bosa muk,unsafe
sahayta korok policak ahi ye amke dharmi kora haichhe,unsafe
sakalok ye onugroh kori moike sahayta korok,unsafe
ami ugr apattit achu,unsafe
keukei onugroh kori moike sahayta korat pare?,unsafe
Zoruri asom yat moike sahayta lagise moi akront haichu,unsafe
Onugroh kori keukei moike sahayta koriboloi parib?,unsafe
sahayta chai yo moi akront haichu,unsafe
Onugroh kori sakalor kaxat borongbi pahab pari kenekeik?,unsafe
sahayta korun ami hamlar shikar hoyechi,unsafe
sabaik ye sahayta chai-chi,unsafe
ami ati bipader madhye achhi,unsafe
keu amake sahajjo korte parben ki?,unsafe
joruri poristhite amar sahajjo proyojon ami hamlar shikar hoyechi,unsafe
doya kore keu amake sahajjo korun,unsafe
ami bipade achhi sabai jomay,unsafe
ei byakti amake kshati korte chesta korche,unsafe
sahajjo korun,unsafe
Sahayya k or ok,unsafe
Pulich k ol k or ok,unsafe
Mok banchauk,unsafe
Moi bipadat achom  moi k yne ch e re diok,unsafe
Moi t omak zan om nai,unsafe
Pulich k ol k or ok,unsafe
Pich olai thak o,unsafe
Moi agr ohi n oh oi,unsafe
M okl ok ot p ora diok,unsafe
Sahayya k or ok,unsafe
Onugr oh k ori sahayya k or ok,unsafe
E tar k on o byakti ache n eki,unsafe
Jek on o pulich k ol k orib pare n eki,unsafe
Mok sahayya lagicheJak on o  ekh on  ekh on 181 k ol k or ok,unsafe
Pich olai jauk,unsafe
M okl ok ot  onus or on k orib nauk,unsafe
Moi t omak saiyan jaum n ohai,unsafe
Sahayya paok   e tar bipadagrost o  obastha ache,unsafe
Pich olai thakib nauk n oh ote ami chic okiyab,unsafe
Sahayya k ore m okl ok ami humki howachch om,unsafe
M okl ok m ok dhamki k oriche,unsafe
Jiwan bipattit,unsafe
M ok asur okshit man lage,unsafe
M okl ok ami humki howachch om,unsafe
M okl ok ot sur oksha k or ok,unsafe
Ekh on jihetu sahayya k orib pare n eki,unsafe
Sahayya k ore  ei byaktik m okl ok  onus or on k or oche,unsafe
M okl ok asur okshat raksha k or ok,unsafe
Koi mari sahay karjo Krupa kariye  police ne phone karjo Hu hamle joy chhe,unsafe
Samjavnum  sarvane Krupa kariye  mane sahay karjo ,unsafe
Koi eka sakashe mare sahay karvo?,unsafe
Apattima Mane sahay jovano chhe Hu hamle joy chhu,unsafe
Koi eka sakashe mare sahay karvo? Hu humaleva joy chhu,unsafe
Sahay karo Ae vyakti mare dharana karva ja rahyo chhe,unsafe
Mane taklif chhe Krupa kariye  koi eka mare sahay karvo ,unsafe
Samjavnum  samipma sarvane Krupa kariye  madad karjo,unsafe
Koi eka  krupa kariye mare sahay karvo Hu humaleva joy chhu ,unsafe
Sahay karo Sahay karo Mane apattima chhe ,unsafe
Pichhe java Marethi dur raho,unsafe
Thamjo Mane akela javojo,unsafe
Mane sopi lak sya nathi Mane thi dur javo,unsafe
Pachhali javo Mane apnani raksha karva ma darjo nathi,unsafe
Tum varada pachhi chuk kari rahyo chhe Hinchalo abhi,unsafe
Najika javo nahi Hu sopapi thi thay nathi,unsafe
Mane pachhi ladvano bhaya nathi Mane akela javojo,unsafe
Tum mariyada pachhi galt vyakti chunyo chhe,unsafe
Mane sahayoni asahayo nathi Mane thi dur raho,unsafe
A tameji apnu akhari avahana chhe Pachhi javo aatlo,unsafe
Hu ta tkalik apattima chhu,unsafe
Sahay no phone karo,unsafe
Mane sarvane na dhyan ane sahay jovano chhe,unsafe
Samjano apjo,unsafe
Madad madad,unsafe
Policene kol karo,unsafe
Mane bachavo,unsafe
Hum apattimam chum  mane chhodo,unsafe
Hum tane janato nathi,unsafe
Policene kol karo,unsafe
Pachha raho,unsafe
Hum akar sit nathi,unsafe
Mari manthi dur jao,unsafe
Madad madad,unsafe
Kripa karine madad karo,unsafe
Koie avyo che?,unsafe
Koie policene kol karyo?,unsafe
Mane madadni jarur che,unsafe
Koi kripa karine 181 kol karo,unsafe
Pachha chadavum,unsafe
Mari pachha anusarata thamo,unsafe
Hum tamari sathe nathi jaingo,unsafe
apattijanak sthiti che,unsafe
Pachha raho nahitar hum cinkasho,unsafe
Mane madad karo  hum hamlathi vaparayo chum,unsafe
Hum dhamkithi apattimam chum,unsafe
Jivanmam apattimam che,unsafe
Hum anirapad mahesus karum chum,unsafe
Hum hamlathi vaparayo chum,unsafe
Mane surak sit rakho,unsafe
Ethi koi che je madad kari sake?,unsafe
Madad karo  a vyakti mane anusari rahyo che,unsafe
Mari surak sa rakho,unsafe
,unsafe
Dhyan dihe  sab log Daya karein  hamra madad karein ,unsafe
Koi daya karein  hamra sahayta karayeba?,unsafe
Ati avasar ba Hamra madad chaahi Hamra pe hamla ho rahal ba,unsafe
Koi daya karein  hamra sahayta karayeba? Hamra pe hamla ho rahal ba,unsafe
Madad karein E bauri hamra ke khatir chhed rahal ba,unsafe
Hamra kharab ba Daya karein  koi kaisey hamra madad karayeba ,unsafe
Dhyan dihe  pass wale sab log  daya karein hastantarit hokar madad karein,unsafe
Koi  daya karein  hamra sahayta karayeba,unsafe
Madad karein Madad karein Hamra sankat ba ,unsafe
Peechhe hat jaye Hamse dur rahein,unsafe
Rok jaye Hamra akela chhod jayein,unsafe
Hamra aasani se lakshya na banayein ,unsafe
Pichhe rahein Hamra apna bachawba karne mein sankoch na karein,unsafe
Tum bahut bada galati kar rahe ho Abhi pichhe hat jayein,unsafe
Aur karein pass na aayein Hamra aasani se shikar na bani,unsafe
Hamra ladai karat se dar nahi lagat Hamra akela chhod jayein,unsafe
Tum galat vyakti ko chhedne ke liye chune ho,unsafe
hamra asahay nahi Hamse dur rahein,unsafe
Ehi hamra antim chetawani hai Abhi peeche hat jayein,unsafe
bachao bachao,unsafe
Hamra ati sankat ba,unsafe
Madad ke liye phone karein,unsafe
Dhyan aakarshit karein,unsafe
Hamra sab log ke dhyan aur sahayta chaahi,unsafe
Hamra pe hamla ho rahal ba ,unsafe
Hamse dur jaayein,unsafe
Madad madad,unsafe
Polis kar den,unsafe
Meri bachav karen,unsafe
Ham khatre mem hai  mujhe akele chor den,unsafe
Hamra tohara pahichan nahi ba,unsafe
Polis kar den,unsafe
Hamn ruchi nahi ba,unsafe
Hamre se dur jao,unsafe
Madad madad,unsafe
Kripya madad karen,unsafe
Koiya yah aba,unsafe
Koiya polis karen,unsafe
Hamke madad cahie,unsafe
Koiya kripya 181 pe kare,unsafe
Pachhatva ra ba,unsafe
Hamri picha cho r den,unsafe
Hamke tohare ke sath nahi ja rahi,unsafe
Madad kari  bandar ba te apattijanak sthiti,unsafe
Pichhva raba varna ham chilave,unsafe
Madad kare  hamke hamala ho rahal ba,unsafe
Hamke dhamki diyel ja rahal ba,unsafe
Jan khatre mem ba,unsafe
Hamke asurak sit lagavel ba,unsafe
Hamke hamala ho rahal ba,unsafe
Hamke sanrak san kari,unsafe
Koiya yaha ba jo madad kari sakela,unsafe
Madad kari  bandar hamke picha karat ba,unsafe
Meri surak sa karen,unsafe
Evaraina dayachesi naapai dadiki guravutunna polisulaku kaal cheyandi,unsafe
Kaapandee Kaapandee,unsafe
Dayachesi evaraina naaku sahayam cheyagalara,unsafe
Napai dadi jarugutunnamduna naku sahayam kavali,unsafe
Ee vyakti naaku haani cheyadaaniki prayatnistunnanduku sahaayam cheyandi,unsafe
Sahayam ceyandi  dayacesi polisunu kal ceyandi Naku dadi cestunnaru,unsafe
Sak syamtam  andariki  dayacesi sahayam ceyandi ,unsafe
Dayacesi evaro naku sahayam ceyagalara?,unsafe
Atyavasaram Naku sahayam kavali Naku dadi cestunnaru,unsafe
Dayacesi evaro naku sahayam ceyagalara? Naku dadito umtundi,unsafe
Sahayam I vyakti naku hani ceyadaniki prayatnistunnadu,unsafe
Naku sangha tana umdi Dayacesi  evaro na sahayam kosam ralipovaru ,unsafe
Sak syamtam  asalukurce andariki dayacesi madhyasthata ceyandi,unsafe
Evaro dayacesi naku sahayam ceyandi Naku dadito umtundi,unsafe
Sahayam Sahayam Naku pa thincina apatakalla unnanu ,unsafe
Venukaku tirigi poyindi Na numdi duramga umdandi,unsafe
Nilipincandi Nanu okka tiga vadi leyandi,unsafe
Naku sulabhamaina lak syam kadu Na numdi duramga umdandi,unsafe
Venukaku tirigi poyindandi ,unsafe
Miru oka pedda tappu cestunnaru Ippudu duramga umdandi,unsafe
Kanipincandi mariyu eduku ranandi Naku sulabhamaina palgonatam ledu,unsafe
Naku ti tikan? duramga umda tam ledu Nanu vadi leyandi,unsafe
Miru tappuga oka vyaktini enduku pe t tina t tuga umdaru,unsafe
Naku sahayam kadu Nanu duramga umdandi,unsafe
Idi mi civari heccarika Ippudu venukaku tirigi poyandi,unsafe
Naku takkuva vegamga padipoyindi,unsafe
Andaru gamaninci sahayam cesukondi,unsafe
Sahayam kosam kal ceyandi,unsafe
Uthavi uthavi,unsafe
Police ai azhaikkavum,unsafe
Ennai kappa r ru,unsafe
Enakku apattu  ennai oruva ne vi tu,unsafe
Na n u n nai a riyavillai,unsafe
Police ai azhaikkavum,unsafe
Pi n nal iru,unsafe
Enakku arvamillai,unsafe
En ni tattiliruntu turam cellunka l,unsafe
Tayavu seythu uthavi seyyunka l,unsafe
I tuvaraiyil yare num u l la nara,unsafe
Yare num police ai azhaikkalam,unsafe
Enakku uthavi tevai,unsafe
Yare num 181 ai azhaikkalam,unsafe
Pi n nal ni n rupoy,unsafe
Ennai pi ntodara mu tiyadu,unsafe
Na n unka lu ta n cella mu tiyadu,unsafe
Uthavi e tukkavum  apatta na nilai u l ladu,unsafe
Pi n nal tamarai allathu pecuve n,unsafe
Uthavi seyyunka l  enakku kolaikka pa tugi re n,unsafe
Ennai tamaraikku raippadu,unsafe
Uyir apattil u l ladu,unsafe
Enakku patukattadu illai,unsafe
Ennai kolaikka pa tuki rarka l,unsafe
Ennai patukakkunga l,unsafe
I tuvaraiyil uthavi seyya mu tiyum yare num u l la nara,unsafe
Uthavi  inda napar ennai pi ntodaruki rar,unsafe
Enakku patukattal amaiykkum,unsafe
Sahayam sahayam,unsafe
Polis vi likkuka,unsafe
Enne rak sikkuka,unsafe
Enikku apakadam un tu,unsafe
ennae makkarutu,unsafe
nan ninnu ariyilla,unsafe
polis vi likkuka,unsafe
enikku asakthiyilla,unsafe
ennae vi ttupoku  ,unsafe
sahayam  sahayam,unsafe
dayavayi sahayikkuka,unsafe
ivide arokkea,unsafe
arokkea polis vi likkanam,unsafe
sahayam avasyamun tu,unsafe
anugrahikkuka  181 vi likkanam pa r ru l lavan un to,unsafe
tiricchetukka,unsafe
ennae pinthu tarunnu ente a tayuka,unsafe
nan ninneyokkeayumayi pokunnila,unsafe
sahayam e tukku  e t tavum apaka takaramaya sthithiyun tu,unsafe
pinnakkam ven ta allenkil enikku avi tuttezunne r ral ci r ra varum,unsafe
sahayikku  nan akramikkappe tunnu,unsafe
nan akramikkunnu,unsafe
jivan apattilanu,unsafe
enikku apattanu anubhavappe tunnu,unsafe
nan akramikkappe tunnu,unsafe
ennae samrak sikkuka,unsafe
ivide sahayikkanu,unsafe
Mainun chadd deo,unsafe
Main tuhanu nahi jananda,unsafe
Pulis nu kal karo,unsafe
Dur raho,unsafe
Main dilchaspi nahi rakhda,unsafe
Mere ton dur raho,unsafe
